code,v0,v1,a0,str,del
24,0.05,0.35,0.015,2,2
25,0.05,0.45,0.02,2.5,2
26,0.05,0.55,0.025,4,2
21,0.15,0.35,0.01,1.5,2
22,0.15,0.45,0.015,2,2
23,0.15,0.55,0.02,2.5,2
0,0.25,0.35,0.005,1,2
19,0.25,0.45,0.01,1.5,2
20,0.25,0.55,0.015,2,2
15,0.05,0.35,0.015,2,1
16,0.05,0.45,0.02,2.5,1
17,0.05,0.55,0.025,4,1
12,0.15,0.35,0.01,1.5,1
13,0.15,0.45,0.015,2,1
14,0.15,0.55,0.02,2.5,1
18,0.25,0.35,0.005,1,1
10,0.25,0.45,0.01,1.5,1
11,0.25,0.55,0.015,2,1
6,0.05,0.35,0.015,2,0
7,0.05,0.45,0.02,2.5,0
8,0.05,0.55,0.025,4,0
3,0.15,0.35,0.01,1.5,0
4,0.15,0.45,0.015,2,0
5,0.15,0.55,0.02,2.5,0
9,0.25,0.35,0.005,1,0
1,0.25,0.45,0.01,1.5,0
2,0.25,0.55,0.015,2,0
