sID,age,sex,hand,noise,blocks
21,18,0,0,0.1,4
22,18,0,0,0.1,4
24,18,0,0,0.1,4
25,18,1,0,0.1,4
26,18,1,0,0.1,4
27,18,0,0,0.1,4
28,19,1,0,0.1,4
29,19,1,0,0.1,4
30,26,0,0,0.1,4
31,18,0,0,0.1,4
32,18,1,0,0.1,4
33,18,0,0,0.1,4
34,18,1,0,0.1,4
35,17,1,0,0.1,4
36,17,1,0,0.1,4
37,18,1,0,0.1,4
38,18,0,1,0.1,4
39,19,1,0,0.1,3.5
40,24,0,0,0.1,4
41,20,1,0,0.1,4
42,18,0,0,0.1,4
43,18,1,0,0.1,4
44,18,1,0,0.1,4
45,18,1,0,0.1,4
46,18,0,0,0.1,4
47,18,1,0,,5
48,19,1,0,,4
49,18,0,0,,4
50,18,0,0,,4
51,18,1,0,,4
52,18,0,0,,4
54,18,1,0,,4
55,19,1,0,,4
56,18,1,0,,4
57,18,1,0,,4
